sfo-test-ops-hbase-01.unix.newokl.com,10.110.11.21
sfo-test-ops-hbase-01-con.newokl.com,10.110.2.21
sfo-ops-centos-06.unix.newokl.com,10.110.2.62
sfo-ops-centos-06-con.newokl.com,10.110.2.193
sfo-test-ops-web-01.unix.newokl.com,10.110.11.40
sfo-test-ops-web-02.unix.newokl.com,10.110.11.41
sfo-test-ops-web-03.unix.newokl.com,10.110.11.42
sac-prod1-imp-db-02.unix.newokl.com,10.140.64.144
sac-prod1-imp-db-02-con.newokl.com,10.141.32.144
sac-prod-srch-web-02.unix.newokl.com,10.120.3.223
sac-prod-srch-web-02-con.newokl.com,10.120.2.227
sac-prod-splnk-web-01.unix.newokl.com,10.120.3.231
sac-prod-splnk-web-01-con.newokl.com,10.120.2.236
sac-prod-splnk-deploy-01.unix.newokl.com,10.120.3.232
sac-prod-splnk-deploy-01-con.newokl.com,10.120.2.237
sac-prod-splnk-data-01.unix.newokl.com,10.120.3.233
sac-prod-splnk-data-01-con.newokl.com,10.120.2.238
sac-prod-splnk-data-02.unix.newokl.com,10.120.3.234
sac-prod-splnk-data-02-con.newokl.com,10.120.2.239
sac-prod-vrt-app-01.unix.newokl.com,10.120.3.112
sac-prod-vrt-app-01-con.newokl.com,10.120.2.240
sac-stg-vrt-app-01.unix.newokl.com,10.120.3.113
sac-stg-vrt-app-01-con.newokl.com,10.120.2.241
sfo-qa-srch-web-01.unix.newokl.com,10.110.11.124
sfo-qa-srch-web-02.unix.newokl.com,10.110.11.125
sfo-int-pim-app-02.unix.newokl.com,10.110.11.121
sfo-int-pim-db-01.unix.newokl.com,10.110.11.122
sfo-qa-srch-data-01.unix.newokl.com,10.110.11.126
sfo-qa-srch-data-02.unix.newokl.com,10.110.11.127
sfo-sand-stor-web-01.unix.newokl.com,10.110.11.128
sfo-test-ops-web-05.unix.newokl.com,10.110.11.44
sfo-test-ops-web-06.unix.newokl.com,10.110.11.45
sfo-dev-pim-app-01.unix.newokl.com,10.110.11.131
sfo-dev-pim-app-02.unix.newokl.com,10.110.11.132
sfo-int-color-web-01.unix.newokl.com,10.110.11.157
sfo-int-color-web-02.unix.newokl.com,10.110.11.158
sfo-dev-pim-db-01.unix.newokl.com,10.110.11.133
nyc-ops-adm-01.unix.newokl.com,10.30.3.51
nyc-ops-adm-02.unix.newokl.com,10.30.3.52
sac-prod1-ops-adm-01.unix.newokl.com,10.140.96.61
sac-prod1-ops-adm-01-con.newokl.com,10.141.96.61
sac-prod1-ops-hbase-01.unix.newokl.com,10.140.96.51
sac-prod1-ops-hbase-02.unix.newokl.com,10.140.96.52
sac-prod1-ops-hbase-03.unix.newokl.com,10.140.96.53
sac-prod1-ops-hbase-03-con.newokl.com,10.141.0.10
sac-prod1-stor-web-01.unix.newokl.com,10.140.32.11
sac-prod1-stor-web-01-con.newokl.com,10.141.0.11
sac-prod1-ops-hbase-04.unix.newokl.com,10.140.96.54
sac-prod1-ops-hbase-04-con.newokl.com,10.141.0.29
sac-prod1-ops-hbase-05.unix.newokl.com,10.140.96.55
sac-prod1-ops-hbase-05-con.newokl.com,10.141.0.60
sac-prod1-ops-hbase-06.unix.newokl.com,10.140.96.56
sac-prod1-ops-hbase-06-con.newokl.com,10.141.0.19
sac-prod1-ops-hbase-07.unix.newokl.com,10.140.96.57
sac-prod1-ops-hbase-07-con.newokl.com,10.141.0.49
sac-prod1-stor-web-02.unix.newokl.com,10.140.32.12
sac-prod1-stor-web-02-con.newokl.com,10.141.0.12
sac-prod1-stor-web-04.unix.newokl.com,10.140.32.14
sac-prod1-stor-web-04-con.newokl.com,10.141.0.14
sac-prod1-stor-web-07.unix.newokl.com,10.140.32.17
sac-prod1-stor-web-07-con.newokl.com,10.141.0.17
sac-prod1-stor-web-10.unix.newokl.com,10.140.32.20
sac-prod1-stor-web-10-con.newokl.com,10.141.0.20
sac-prod1-stor-web-13.unix.newokl.com,10.140.32.23
sac-prod1-stor-web-13-con.newokl.com,10.141.0.23
sac-prod1-stor-cache-01.unix.newokl.com,10.140.32.50
sac-prod1-stor-cache-01-con.newokl.com,10.141.0.26
sac-prod-ops-nas-01.unix.newokl.com,10.120.2.100
