PERS,,,,,,,,,
sac-eng-ops-esx-01 (PERS01),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-mail-nexus-web-01,10.68.32.138,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-nexus-rsq-01,10.68.32.148,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-avail-web-01,10.68.32.158,5,4,4,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-searchpro-web-01,10.68.32.168,5,8,12,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-searchpro-data-01,10.68.64.28,5,8,12,150,sac-eng-ops-esx-10,dev:sysadmin,dev-root,db
sac-mail-imp-web-01,10.68.32.178,6,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-stor-web-01,10.68.32.188,5,8,12,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-stor-mq-01,10.68.32.198,5,8,12,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-stor-db-01,10.68.64.48,6,8,16,350,sac-eng-ops-esx-10,dev:sysadmin,dev-root,db
sac-mail-vp-web-01,10.68.32.208,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-vp-rsq-01,10.68.32.218,5,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
sac-mail-soa-web-01,10.68.32.228,6,8,8,100,sac-eng-ops-esx-10,dev:sysadmin,dev-root,app
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sac-eng-ops-esx-09 (MAIL02),,,,,,,,,
Host,IP address,Cent0S,CPU,RAM,Disk,Console,UserGroup,HostGroup,Network
sac-mail-abtest-web-02,10.68.32.29,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-apiserver-web-02,10.68.32.39,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-babar-web-02,10.68.32.49,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-catalog-web-02,10.68.32.59,6,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-catfin-web-02,10.68.32.69,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-color-web-02,10.68.32.89,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-elysium-web-02,10.68.32.99,6,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-inventory-web-02,10.68.32.109,6,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-mktapp-web-02,10.68.32.119,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-mobile-web-02,10.68.32.129,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-nexus-web-02,10.68.32.139,5,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-nexus-rsq-02,10.68.32.149,5,8,8,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
sac-mail-avail-web-02,10.68.32.159,5,4,4,100,sac-eng-ops-esx-11,dev:sysadmin,dev-root,app
